emoji_handle,emoji_link,section
poodle,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/poodle.png,Nature
paw_prints,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/paw_prints.png,Nature
bouquet,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bouquet.png,Nature
cherry_blossom,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cherry_blossom.png,Nature
tulip,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/tulip.png,Nature
four_leaf_clover,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/four_leaf_clover.png,Nature
rose,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rose.png,Nature
sunflower,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sunflower.png,Nature
hibiscus,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hibiscus.png,Nature
maple_leaf,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/maple_leaf.png,Nature
leaves,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/leaves.png,Nature
fallen_leaf,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fallen_leaf.png,Nature
herb,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/herb.png,Nature
mushroom,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/mushroom.png,Nature
cactus,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cactus.png,Nature
palm_tree,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/palm_tree.png,Nature
evergreen_tree,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/evergreen_tree.png,Nature
deciduous_tree,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/deciduous_tree.png,Nature
chestnut,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/chestnut.png,Nature
seedling,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/seedling.png,Nature
blossom,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/blossom.png,Nature
ear_of_rice,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ear_of_rice.png,Nature
shell,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/shell.png,Nature
globe_with_meridians,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/globe_with_meridians.png,Nature
sun_with_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sun_with_face.png,Nature
full_moon_with_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/full_moon_with_face.png,Nature
new_moon_with_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/new_moon_with_face.png,Nature
new_moon,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/new_moon.png,Nature
